

Complete listing of Fine Structure file
File:  D:\SoundingArchive\Sonde2021\Ball09\PTU\20210930\Esrange_20210930_045350_EDT_PTULevels.tsv

Started at       30 September 2021  4:53 UTC

Station  :       Esrange
Location :       67.89 N 21.08 E       335 m/MSL

RS type       :  RS41-SGP
RS-number     :  R0830048
Sounding processor serial number: 0


Ground check  :     Ref     RS   Corr

  Pressure    :   988.7  987.1    1.6
  Temperature :   /////  /////  /////
  Humidity    :   /////  /////  /////

Clouds    : /////
Special 1 : /////
Special 2 : /////

Telemetry noise level  :  100 %

   4  7    872.2     1295      -0.6     93   -1.5                           
   4  8    871.8     1299      -0.6     93   -1.6                           
   4  9    871.4     1302      -0.6     93   -1.6                           
   4 10    871.0     1306      -0.6     92   -1.7                           
   4 11    870.7     1310      -0.6     92   -1.7                           
   4 12    870.3     1313      -0.6     92   -1.8                           
   4 13    869.9     1317      -0.6     91   -1.8                           
   4 14    869.5     1320      -0.5     90   -1.9                           
   4 15    869.1     1324      -0.5     89   -2.1                           
   4 16    868.7     1327      -0.4     88   -2.1                           
   4 17    868.3     1331      -0.4     88   -2.2                           
   4 18    868.0     1334      -0.4     88   -2.1                           
   4 19    867.6     1338      -0.4     88   -2.1                           
   4 20    867.2     1341      -0.3     88   -2.0                           
   4 21    866.8     1345      -0.3     88   -2.1                           
   4 22    866.4     1349      -0.3     88   -2.1                           
   4 23    866.0     1352      -0.3     87   -2.1                           
   4 24    865.7     1355      -0.3     87   -2.1                           
   4 25    865.3     1359      -0.2     87   -2.1                           
   4 26    864.9     1362      -0.2     87   -2.1                           
   4 27    864.6     1366      -0.2     87   -2.1                           
   4 28    864.2     1369      -0.2     87   -2.1                           
   4 29    863.9     1372      -0.2     87   -2.1                           
   4 30    863.5     1375      -0.2     88   -2.1                           
   4 31    863.2     1379      -0.2     88   -2.1                           
   4 32    862.8     1382      -0.3     87   -2.1 TU          TU            
   4 33    862.5     1385      -0.1     86   -2.1                           
   4 34    862.1     1388      -0.1     84   -2.4                           
   4 35    861.8     1392       0.0     80   -3.0                           
   4 36    861.4     1395       0.1     74   -4.0                           
   4 37    861.1     1398       0.3     66   -5.3                           
   4 38    860.7     1401       0.5     61   -6.2                           
   4 39    860.4     1404       0.7     61   -6.0                           
   4 40    860.0     1408       1.1     62   -5.5                           
   4 41    859.7     1411       1.3     61   -5.4                           
   4 42    859.3     1414       1.2     60   -5.7                           
   4 43    859.0     1418       1.3     58   -6.0                           
   4 44    858.6     1421       1.6     56   -6.1                           
   4 45    858.3     1424       1.8     55   -6.2                           
   4 46    858.0     1427       1.8     54   -6.4                           
   4 47    857.6     1430       2.1     54   -6.2  U           U            
   4 48    857.3     1433       2.4     55   -5.8                           
   4 49    857.0     1437       2.5     58   -5.0                           
   4 50    856.6     1440       2.7     63   -3.7                           
   4 51    856.3     1443       2.8     65   -3.1 T           T             
   4 52    856.0     1446       2.9     64   -3.2                           
   4 53    855.7     1449       2.9     63   -3.4                           
   4 54    855.3     1452       3.0     62   -3.5                           
   4 55    855.0     1455       3.1     62   -3.5                           
   4 56    854.7     1458       3.2     61   -3.6                           
   4 57    854.3     1461       3.2     61   -3.7                           
   4 58    854.0     1464       3.2     60   -3.7                           
   4 59    853.7     1468       3.3     60   -3.7                           
   5  0    853.4     1471       3.3     60   -3.7                           
   5  1    853.0     1474       3.3     60   -3.8                           
   5  2    852.7     1477       3.3     60   -3.8                           
   5  3    852.4     1480       3.3     59   -3.9                           
   5  4    852.1     1483       3.3     59   -3.9                           
   5  5    851.7     1486       3.3     59   -4.0                           
   5  6    851.4     1490       3.3     59   -4.0                           
   5  7    851.0     1493       3.3     59   -4.0                           
   5  8    850.7     1496       3.3     58   -4.1                           
   5  9    850.4     1499       3.3     58   -4.1                           
   5 10    850.0     1502       3.3     58   -4.2                           
   5 11    849.7     1506       3.3     58   -4.2                           
   5 12    849.4     1509       3.3     58   -4.2 T           T             
   5 13    849.0     1512       3.3     58   -4.2                           
   5 14    848.7     1515       3.3     57   -4.3                           
   5 15    848.3     1519       3.2     57   -4.4                           
   5 16    848.0     1522       3.3     57   -4.5                           
   5 17    847.6     1525       3.3     56   -4.5                           
   5 18    847.3     1528       3.3     56   -4.5                           
   5 19    847.0     1532       3.4     56   -4.6                           
   5 20    846.6     1535       3.3     56   -4.6                           
   5 21    846.3     1539       3.3     56   -4.6                           
   5 22    845.9     1542       3.3     56   -4.6                           
   5 23    845.5     1545       3.3     56   -4.6                           
   5 24    845.2     1549       3.2     56   -4.6                           
   5 25    844.8     1552       3.2     56   -4.7                           
   5 26    844.5     1556       3.3     56   -4.7                           
   5 27    844.1     1559       3.5     55   -4.7                           
   5 28    843.8     1562       3.5     55   -4.7                           
   5 29    843.4     1566       3.5     55   -4.7                           
   5 30    843.0     1570       3.5     55   -4.7                           
   5 31    842.7     1573       3.5     55   -4.7                           
   5 32    842.3     1577       3.5     55   -4.8                           
   5 33    841.9     1580       3.4     55   -4.8                           
   5 34    841.6     1584       3.4     54   -4.9                           
   5 35    841.2     1587       3.5     54   -5.0                           
   5 36    840.8     1591       3.5     53   -5.1                           
   5 37    840.4     1594       3.6     53   -5.2                           
   5 38    840.1     1598       3.6     53   -5.2                           
   5 39    839.7     1602       3.6     53   -5.2                           
   5 40    839.3     1605       3.6     53   -5.1                           
   5 41    838.9     1609       3.6     53   -5.1                           
   5 42    838.6     1613       3.6     53   -5.1                           
   5 43    838.2     1616       3.6     53   -5.1                           
   5 44    837.8     1620       3.5     53   -5.2                           
   5 45    837.4     1624       3.5     53   -5.2                           
   5 46    837.0     1627       3.5     52   -5.3                           
   5 47    836.6     1631       3.6     52   -5.4                           
   5 48    836.3     1635       3.6     51   -5.5                           
   5 49    835.9     1639       3.6     51   -5.5                           
   5 50    835.5     1642       3.6     51   -5.5                           
   5 51    835.1     1646       3.6     51   -5.4                           
   5 52    834.8     1649       3.6     51   -5.4                           
   5 53    834.4     1653       3.6     51   -5.5                           
   5 54    834.0     1657       3.6     51   -5.5                           
   5 55    833.6     1660       3.7     51   -5.5                           
   5 56    833.3     1664       3.7     51   -5.5                           
   5 57    832.9     1668       3.6     51   -5.5                           
   5 58    832.5     1671       3.6     51   -5.6                           
   5 59    832.1     1675       3.7     50   -5.7                           
   6  0    831.8     1679       3.7     50   -5.8                           
   6  1    831.4     1682       3.7     50   -5.9                           
   6  2    831.1     1686       3.7     49   -5.9                           
   6  3    830.7     1689       3.7     49   -5.9                           
   6  4    830.3     1693       3.7     49   -6.0                           
   6  5    830.0     1696       3.7     49   -6.0                           
   6  6    829.6     1699       3.7     49   -6.0                           
   6  7    829.3     1703       3.7     49   -6.0                           
   6  8    828.9     1706       3.7     49   -6.0                           
   6  9    828.6     1710       3.7     49   -5.9                           
   6 10    828.2     1713       3.6     49   -6.0                           
   6 11    827.8     1717       3.6     49   -6.0                           
   6 12    827.5     1721       3.6     49   -6.1                           
   6 13    827.1     1724       3.6     49   -6.2                           
   6 14    826.7     1728       3.6     48   -6.2                           
   6 15    826.4     1732       3.6     48   -6.3                           
   6 16    826.0     1735       3.6     48   -6.3                           
   6 17    825.6     1739       3.6     48   -6.3                           
   6 18    825.2     1743       3.6     48   -6.3                           
   6 19    824.9     1746       3.5     49   -6.3                           
   6 20    824.5     1750       3.5     49   -6.3                           
   6 21    824.1     1754       3.5     49   -6.3                           
   6 22    823.7     1758       3.5     49   -6.3                           
   6 23    823.3     1761       3.4     49   -6.3                           
   6 24    823.0     1765       3.4     49   -6.3                           
   6 25    822.6     1769       3.4     49   -6.3                           
   6 26    822.2     1772       3.3     49   -6.3                           
   6 27    821.8     1776       3.3     49   -6.3                           
   6 28    821.5     1780       3.3     49   -6.3                           
   6 29    821.1     1783       3.2     49   -6.4                           
   6 30    820.7     1787       3.2     49   -6.4                           
   6 31    820.3     1791       3.2     49   -6.4                           
   6 32    820.0     1795       3.2     49   -6.4                           
   6 33    819.6     1798       3.2     49   -6.4                           
   6 34    819.2     1802       3.2     49   -6.5                           
   6 35    818.8     1806       3.1     49   -6.5                           
   6 36    818.4     1810       3.1     49   -6.5                           
   6 37    818.0     1814       3.1     49   -6.6                           
   6 38    817.6     1818       3.1     49   -6.6                           
   6 39    817.2     1821       3.1     49   -6.6                           
   6 40    816.8     1825       3.0     49   -6.6                           
   6 41    816.5     1829       2.9     49   -6.7                           
   6 42    816.1     1833       2.8     49   -6.7                           
   6 43    815.7     1837       2.8     49   -6.8                           
   6 44    815.3     1841       2.8     49   -6.8                           
   6 45    814.9     1845       2.8     49   -6.9                           
   6 46    814.5     1849       2.9     48   -7.0                           
   6 47    814.1     1853       2.9     48   -7.0                           
   6 48    813.7     1856       2.9     48   -6.9                           
   6 49    813.3     1860       2.8     49   -6.9                           
   6 50    812.9     1864       2.8     49   -6.9                           
   6 51    812.6     1868       2.8     49   -6.9                           
   6 52    812.2     1872       2.8     49   -6.8                           
   6 53    811.8     1876       2.8     49   -6.8                           
   6 54    811.4     1880       2.8     50   -6.7                           
   6 55    811.0     1884       2.7     50   -6.7                           
   6 56    810.6     1888       2.7     50   -6.7                           
   6 57    810.2     1892       2.7     50   -6.6                           
   6 58    809.8     1895       2.7     50   -6.6                           
   6 59    809.4     1899       2.6     50   -6.7                           
   7  0    809.0     1903       2.6     50   -6.8                           
   7  1    808.6     1907       2.6     50   -6.8                           
   7  2    808.2     1911       2.6     49   -6.9                           
   7  3    807.8     1915       2.6     49   -7.2                           
   7  4    807.4     1919       2.6     48   -7.3                           
   7  5    807.0     1923       2.6     48   -7.3                           
   7  6    806.6     1927       2.5     48   -7.4                           
   7  7    806.2     1931       2.5     48   -7.5                           
   7  8    805.8     1935       2.6     47   -7.6                           
   7  9    805.4     1939       2.6     47   -7.7                           
   7 10    805.0     1943       2.6     46   -7.7                           
   7 11    804.6     1947       2.6     46   -7.7                           
   7 12    804.2     1951       2.6     46   -7.7                           
   7 13    803.8     1955       2.6     46   -7.8                           
   7 14    803.4     1959       2.6     46   -7.9                           
   7 15    803.0     1963       2.6     46   -8.0                           
   7 16    802.6     1967       2.6     45   -8.1                           
   7 17    802.2     1971       2.6     45   -8.2                           
   7 18    801.9     1975       2.6     45   -8.2                           
   7 19    801.5     1979       2.5     45   -8.3                           
   7 20    801.1     1983       2.5     44   -8.4                           
   7 21    800.7     1987       2.5     44   -8.5                           
   7 22    800.3     1991       2.5     43   -8.7                           
   7 23    799.9     1995       2.5     43   -8.8                           
   7 24    799.5     1999       2.5     42   -9.0                           
   7 25    799.1     2003       2.5     42   -9.3                           
   7 26    798.7     2007       2.5     40   -9.7                           
